sitename,county,aqi,status,pm2.5,datacreationdate,longigude
臺東,臺東縣,32,,良好,0.8,0.21
恆春,屏東縣,40,,良好,0.5,0.14
潮州,屏東縣,103,細懸浮微粒,對敏感族群不健康,2.3,0.28
屏東,屏東縣,99,細懸浮微粒,普通,3.1,0.37
小港,高雄市,110,細懸浮微粒,對敏感族群不健康,2.7,0.26
前鎮,高雄市,115,細懸浮微粒,對敏感族群不健康,1.8,0.29
前金,高雄市,108,細懸浮微粒,對敏感族群不健康,1.5,0.29
左營,高雄市,116,細懸浮微粒,對敏感族群不健康,1.6,0.25
楠梓,高雄市,111,細懸浮微粒,對敏感族群不健康,2.2,0.28
林園,高雄市,102,細懸浮微粒,對敏感族群不健康,1.4,0.29
大寮,高雄市,114,細懸浮微粒,對敏感族群不健康,1.7,0.3
鳳山,高雄市,107,細懸浮微粒,對敏感族群不健康,2.4,0.61
仁武,高雄市,118,細懸浮微粒,對敏感族群不健康,1.4,0.27
橋頭,高雄市,119,細懸浮微粒,對敏感族群不健康,2.1,0.32
美濃,高雄市,67,細懸浮微粒,普通,1.4,0.29
臺南,臺南市,95,細懸浮微粒,普通,1.6,0.25
安南,臺南市,86,懸浮微粒,普通,1.2,0.24
善化,臺南市,90,細懸浮微粒,普通,1.9,0.19
新營,臺南市,86,細懸浮微粒,普通,,
嘉義,嘉義市,83,細懸浮微粒,普通,,
臺西,雲林縣,65,細懸浮微粒,普通,2.3,0.2
朴子,嘉義縣,70,細懸浮微粒,普通,2.4,0.25
新港,嘉義縣,75,細懸浮微粒,普通,1.2,0.21
崙背,雲林縣,82,細懸浮微粒,普通,,
斗六,雲林縣,87,細懸浮微粒,普通,2.1,0.27
南投,南投縣,61,細懸浮微粒,普通,1.6,0.29
二林,彰化縣,73,細懸浮微粒,普通,1.9,0.21
線西,彰化縣,67,細懸浮微粒,普通,1.8,0.21
彰化,彰化縣,68,細懸浮微粒,普通,1.2,0.24
西屯,臺中市,60,細懸浮微粒,普通,1.5,0.22
忠明,臺中市,64,細懸浮微粒,普通,2.1,0.27
大里,臺中市,70,細懸浮微粒,普通,,
沙鹿,臺中市,63,細懸浮微粒,普通,1.3,0.21
豐原,臺中市,69,細懸浮微粒,普通,4.2,0.29
三義,苗栗縣,40,,良好,,
苗栗,苗栗縣,49,,良好,2.8,0.18
頭份,苗栗縣,48,,良好,2,0.2
新竹,新竹市,50,,良好,1.3,0.22
竹東,新竹縣,49,,良好,0.6,0.31
湖口,新竹縣,51,細懸浮微粒,普通,1.6,0.24
龍潭,桃園市,68,細懸浮微粒,普通,2.7,0.42
平鎮,桃園市,55,細懸浮微粒,普通,2.1,0.36
觀音,桃園市,41,,良好,1,0.17
大園,桃園市,52,細懸浮微粒,普通,4.2,0.33
桃園,桃園市,54,細懸浮微粒,普通,2.5,0.34
大同,臺北市,36,,良好,,
松山,臺北市,30,,良好,1.7,0.22
古亭,臺北市,34,,良好,1.3,0.2
萬華,臺北市,31,,良好,0.5,0.29
中山,臺北市,32,,良好,0.7,0.25
士林,臺北市,37,,良好,0.5,0.21
淡水,新北市,32,,良好,,
林口,新北市,39,,良好,2.1,0.26
菜寮,新北市,34,,良好,0.5,0.33
新莊,新北市,37,,良好,0.5,0.2
板橋,新北市,30,,良好,,0.29
土城,新北市,30,,良好,,0.26
新店,新北市,34,,良好,0.4,0.2
萬里,新北市,37,,良好,0.1,0.19
汐止,新北市,29,,良好,0.8,0.22
基隆,基隆市,37,,良好,0.7,0.22
屏東(枋山),屏東縣,104,細懸浮微粒,對敏感族群不健康,2.2,0.33
花蓮（美崙）,花蓮縣,30,,良好,0,0.14
新北（樹林）,新北市,58,二氧化氮,普通,3,0.37
台中市（和平區消防隊）,臺中市,32,,良好,1,0.33
屏東（琉球）,屏東縣,112,細懸浮微粒,對敏感族群不健康,2,0.27
臺南（麻豆）,臺南市,84,細懸浮微粒,普通,1.8,0.19
高雄（湖內）,高雄市,130,細懸浮微粒,對敏感族群不健康,2.6,0.25
宜蘭（頭城）,宜蘭縣,30,,良好,1.3,0.15
員林,彰化縣,84,細懸浮微粒,普通,1.7,0.25
大城,彰化縣,56,細懸浮微粒,普通,0.9,0.16
富貴角,新北市,37,,良好,0.7,0.15
麥寮,雲林縣,63,細懸浮微粒,普通,1.2,0.19
關山,臺東縣,23,,良好,,0.21
馬公,澎湖縣,52,細懸浮微粒,普通,1,0.18
金門,金門縣,62,細懸浮微粒,普通,1.3,0.27
馬祖,連江縣,60,懸浮微粒,普通,1.5,0.25
埔里,南投縣,32,,良好,1.3,0.22
